,Topic
17808,Heart Failure
9535,Acute Myocardial Infarction (Heart Attack)
10691,Acute Myocardial Infarction (Heart Attack)
2112,Major Cardiovascular Disease
12979,Acute Myocardial Infarction (Heart Attack)
16404,Coronary Heart Disease
34322,Heart Failure
16675,Coronary Heart Disease
6880,Diseases of the Heart (Heart Disease)
34388,Heart Failure
6854,Diseases of the Heart (Heart Disease)
60,Major Cardiovascular Disease
7276,Diseases of the Heart (Heart Disease)
16444,Coronary Heart Disease
3867,Major Cardiovascular Disease
2416,Major Cardiovascular Disease
26339,Heart Failure
3837,Major Cardiovascular Disease
18052,Heart Failure
9540,Acute Myocardial Infarction (Heart Attack)
3957,Major Cardiovascular Disease
36733,Heart Failure
23620,Heart Failure
35121,Heart Failure
40604,Stroke
4051,Major Cardiovascular Disease
32584,Heart Failure
2964,Major Cardiovascular Disease
8539,Diseases of the Heart (Heart Disease)
5574,Major Cardiovascular Disease
39454,Stroke
10239,Acute Myocardial Infarction (Heart Attack)
35485,Heart Failure
7825,Diseases of the Heart (Heart Disease)
7741,Diseases of the Heart (Heart Disease)
27904,Heart Failure
19816,Heart Failure
21008,Heart Failure
37165,Heart Failure
34440,Heart Failure
23270,Heart Failure
29168,Heart Failure
25831,Heart Failure
23376,Heart Failure
21751,Heart Failure
19332,Coronary Heart Disease
22302,Heart Failure
41418,Stroke
13004,Acute Myocardial Infarction (Heart Attack)
35122,Heart Failure
1461,Major Cardiovascular Disease
20148,Heart Failure
761,Major Cardiovascular Disease
3983,Major Cardiovascular Disease
233,Major Cardiovascular Disease
32450,Heart Failure
13746,Acute Myocardial Infarction (Heart Attack)
17094,Coronary Heart Disease
25695,Heart Failure
29981,Heart Failure
19671,Heart Failure
12925,Acute Myocardial Infarction (Heart Attack)
32382,Heart Failure
4069,Major Cardiovascular Disease
33774,Heart Failure
28011,Heart Failure
33962,Heart Failure
8704,Diseases of the Heart (Heart Disease)
39815,Stroke
36077,Heart Failure
8991,Acute Myocardial Infarction (Heart Attack)
11407,Acute Myocardial Infarction (Heart Attack)
9737,Acute Myocardial Infarction (Heart Attack)
10839,Diseases of the Heart (Heart Disease)
7311,Diseases of the Heart (Heart Disease)
3373,Major Cardiovascular Disease
19823,Coronary Heart Disease
39356,Stroke
33654,Heart Failure
27461,Heart Failure
10599,Diseases of the Heart (Heart Disease)
23581,Heart Failure
22004,Heart Failure
14483,Acute Myocardial Infarction (Heart Attack)
23718,Heart Failure
5761,Diseases of the Heart (Heart Disease)
17002,Coronary Heart Disease
28737,Heart Failure
33862,Heart Failure
12830,Acute Myocardial Infarction (Heart Attack)
16583,Coronary Heart Disease
38752,Stroke
24487,Heart Failure
16330,Coronary Heart Disease
41673,Stroke
24164,Heart Failure
18145,Heart Failure
11964,Acute Myocardial Infarction (Heart Attack)
24465,Heart Failure
16801,Coronary Heart Disease
37636,Heart Failure
3486,Major Cardiovascular Disease
3367,Major Cardiovascular Disease
24156,Heart Failure
429,Major Cardiovascular Disease
7112,Diseases of the Heart (Heart Disease)
25984,Heart Failure
35237,Heart Failure
22499,Heart Failure
24595,Heart Failure
28450,Heart Failure
35250,Heart Failure
42521,Stroke
28366,Heart Failure
26381,Heart Failure
21794,Heart Failure
36310,Heart Failure
12626,Acute Myocardial Infarction (Heart Attack)
6276,Diseases of the Heart (Heart Disease)
42252,Stroke
34121,Heart Failure
5061,Diseases of the Heart (Heart Disease)
14974,Coronary Heart Disease
33105,Heart Failure
19526,Heart Failure
36677,Heart Failure
17075,Coronary Heart Disease
14407,Acute Myocardial Infarction (Heart Attack)
24251,Heart Failure
16867,Coronary Heart Disease
40341,Stroke
15735,Coronary Heart Disease
35469,Heart Failure
15615,Coronary Heart Disease
11693,Acute Myocardial Infarction (Heart Attack)
33702,Heart Failure
17325,Coronary Heart Disease
617,Major Cardiovascular Disease
23381,Heart Failure
19381,Heart Failure
29534,Heart Failure
23969,Heart Failure
26264,Heart Failure
39399,Stroke
34396,Heart Failure
12073,Acute Myocardial Infarction (Heart Attack)
10443,Diseases of the Heart (Heart Disease)
18598,Heart Failure
18490,Heart Failure
36149,Heart Failure
13791,Coronary Heart Disease
10189,Acute Myocardial Infarction (Heart Attack)
25408,Heart Failure
27625,Heart Failure
41898,Stroke
19385,Heart Failure
26069,Heart Failure
37201,Heart Failure
32617,Heart Failure
15451,Coronary Heart Disease
40656,Stroke
16139,Coronary Heart Disease
19849,Heart Failure
35105,Heart Failure
12932,Acute Myocardial Infarction (Heart Attack)
22749,Heart Failure
2297,Major Cardiovascular Disease
31875,Heart Failure
37643,Heart Failure
27216,Heart Failure
16869,Coronary Heart Disease
21992,Heart Failure
4980,Diseases of the Heart (Heart Disease)
18226,Heart Failure
33206,Heart Failure
19094,Heart Failure
12386,Acute Myocardial Infarction (Heart Attack)
7712,Diseases of the Heart (Heart Disease)
40571,Stroke
27885,Heart Failure
40022,Stroke
22761,Heart Failure
12053,Acute Myocardial Infarction (Heart Attack)
37023,Stroke
12848,Acute Myocardial Infarction (Heart Attack)
39870,Stroke
28270,Heart Failure
6199,Diseases of the Heart (Heart Disease)
3334,Major Cardiovascular Disease
33951,Heart Failure
19029,Heart Failure
19190,Heart Failure
19939,Heart Failure
24826,Heart Failure
3416,Major Cardiovascular Disease
35592,Heart Failure
14395,Coronary Heart Disease
7283,Diseases of the Heart (Heart Disease)
23401,Heart Failure
3022,Major Cardiovascular Disease
38211,Heart Failure
8216,Diseases of the Heart (Heart Disease)
4194,Major Cardiovascular Disease
26927,Heart Failure
7986,Diseases of the Heart (Heart Disease)
33320,Heart Failure
31778,Heart Failure
39289,Stroke
1340,Major Cardiovascular Disease
29707,Heart Failure
17313,Coronary Heart Disease
35110,Heart Failure
28291,Heart Failure
28735,Heart Failure
42624,Stroke
18179,Coronary Heart Disease
20296,Heart Failure
36277,Heart Failure
27286,Heart Failure
10790,Acute Myocardial Infarction (Heart Attack)
40101,Stroke
5289,Diseases of the Heart (Heart Disease)
37938,Heart Failure
30289,Heart Failure
42615,Stroke
8271,Diseases of the Heart (Heart Disease)
26542,Heart Failure
6956,Diseases of the Heart (Heart Disease)
41818,Stroke
7912,Diseases of the Heart (Heart Disease)
8995,Acute Myocardial Infarction (Heart Attack)
1643,Major Cardiovascular Disease
21389,Heart Failure
17933,Coronary Heart Disease
6665,Diseases of the Heart (Heart Disease)
28412,Heart Failure
4993,Diseases of the Heart (Heart Disease)
38771,Stroke
14996,Coronary Heart Disease
28312,Heart Failure
37187,Heart Failure
29339,Heart Failure
4754,Diseases of the Heart (Heart Disease)
3637,Major Cardiovascular Disease
40088,Stroke
8901,Acute Myocardial Infarction (Heart Attack)
19668,Heart Failure
21964,Heart Failure
13645,Coronary Heart Disease
9280,Acute Myocardial Infarction (Heart Attack)
24848,Heart Failure
15495,Acute Myocardial Infarction (Heart Attack)
13973,Acute Myocardial Infarction (Heart Attack)
24024,Heart Failure
18114,Coronary Heart Disease
28145,Heart Failure
12642,Acute Myocardial Infarction (Heart Attack)
11325,Acute Myocardial Infarction (Heart Attack)
23058,Heart Failure
26521,Heart Failure
39795,Stroke
11703,Acute Myocardial Infarction (Heart Attack)
42429,Stroke
13400,Coronary Heart Disease
7110,Diseases of the Heart (Heart Disease)
18407,Coronary Heart Disease
3004,Major Cardiovascular Disease
37146,Heart Failure
8495,Diseases of the Heart (Heart Disease)
20959,Heart Failure
18500,Coronary Heart Disease
14527,Acute Myocardial Infarction (Heart Attack)
2494,Major Cardiovascular Disease
33779,Heart Failure
31281,Heart Failure
35095,Heart Failure
8742,Acute Myocardial Infarction (Heart Attack)
24356,Heart Failure
25878,Heart Failure
22900,Heart Failure
38229,Heart Failure
35288,Heart Failure
37172,Heart Failure
29756,Heart Failure
3999,Major Cardiovascular Disease
8572,Diseases of the Heart (Heart Disease)
35159,Heart Failure
24291,Heart Failure
34586,Heart Failure
20426,Heart Failure
34280,Heart Failure
30599,Heart Failure
4128,Major Cardiovascular Disease
532,Major Cardiovascular Disease
12761,Acute Myocardial Infarction (Heart Attack)
30131,Heart Failure
33154,Heart Failure
22433,Heart Failure
25090,Heart Failure
31145,Heart Failure
16211,Coronary Heart Disease
23406,Heart Failure
19501,Coronary Heart Disease
19700,Coronary Heart Disease
26466,Heart Failure
38338,Stroke
9358,Acute Myocardial Infarction (Heart Attack)
30103,Heart Failure
2202,Major Cardiovascular Disease
19646,Heart Failure
14079,Coronary Heart Disease
31043,Heart Failure
31802,Heart Failure
38013,Stroke
35704,Heart Failure
19087,Coronary Heart Disease
20303,Heart Failure
34908,Heart Failure
24152,Heart Failure
3800,Major Cardiovascular Disease
27961,Heart Failure
20531,Heart Failure
5328,Diseases of the Heart (Heart Disease)
21675,Heart Failure
33555,Heart Failure
38098,Heart Failure
24936,Heart Failure
5223,Diseases of the Heart (Heart Disease)
35825,Heart Failure
30331,Heart Failure
35433,Heart Failure
21369,Heart Failure
5913,Diseases of the Heart (Heart Disease)
673,Major Cardiovascular Disease
13755,Coronary Heart Disease
33511,Heart Failure
30968,Heart Failure
7349,Diseases of the Heart (Heart Disease)
17992,Heart Failure
33937,Heart Failure
32671,Heart Failure
10386,Acute Myocardial Infarction (Heart Attack)
41362,Stroke
33610,Heart Failure
37249,Heart Failure
32116,Heart Failure
13209,Acute Myocardial Infarction (Heart Attack)
22328,Heart Failure
24974,Heart Failure
33349,Heart Failure
40742,Stroke
16320,Coronary Heart Disease
19263,Coronary Heart Disease
31497,Heart Failure
28445,Heart Failure
16894,Coronary Heart Disease
6331,Diseases of the Heart (Heart Disease)
28979,Heart Failure
22760,Heart Failure
29053,Heart Failure
15405,Coronary Heart Disease
35294,Heart Failure
26253,Heart Failure
19126,Coronary Heart Disease
10107,Acute Myocardial Infarction (Heart Attack)
41377,Stroke
26703,Heart Failure
30498,Heart Failure
13684,Coronary Heart Disease
17818,Coronary Heart Disease
16718,Coronary Heart Disease
7661,Diseases of the Heart (Heart Disease)
23151,Heart Failure
41798,Stroke
36820,Heart Failure
32490,Heart Failure
13338,Coronary Heart Disease
8383,Diseases of the Heart (Heart Disease)
28114,Heart Failure
32102,Heart Failure
10472,Acute Myocardial Infarction (Heart Attack)
5664,Diseases of the Heart (Heart Disease)
16033,Coronary Heart Disease
35919,Heart Failure
23332,Heart Failure
18415,Heart Failure
26374,Heart Failure
20050,Heart Failure
39726,Stroke
31760,Heart Failure
19853,Heart Failure
24280,Heart Failure
16769,Coronary Heart Disease
30114,Heart Failure
20288,Heart Failure
39170,Stroke
17937,Heart Failure
8409,Diseases of the Heart (Heart Disease)
8031,Diseases of the Heart (Heart Disease)
7620,Diseases of the Heart (Heart Disease)
13149,Acute Myocardial Infarction (Heart Attack)
13562,Coronary Heart Disease
19833,Heart Failure
29569,Heart Failure
14095,Coronary Heart Disease
3872,Major Cardiovascular Disease
9856,Acute Myocardial Infarction (Heart Attack)
32256,Heart Failure
18186,Heart Failure
15994,Coronary Heart Disease
18581,Coronary Heart Disease
31001,Heart Failure
29932,Heart Failure
7641,Diseases of the Heart (Heart Disease)
3405,Major Cardiovascular Disease
31527,Heart Failure
32360,Heart Failure
19020,Heart Failure
30696,Heart Failure
18531,Heart Failure
37325,Heart Failure
3017,Major Cardiovascular Disease
31793,Heart Failure
19588,Heart Failure
10343,Acute Myocardial Infarction (Heart Attack)
40581,Stroke
7313,Diseases of the Heart (Heart Disease)
15424,Acute Myocardial Infarction (Heart Attack)
42265,Stroke
960,Major Cardiovascular Disease
36325,Heart Failure
25000,Heart Failure
24262,Heart Failure
31358,Heart Failure
14019,Coronary Heart Disease
28910,Heart Failure
40625,Stroke
33778,Heart Failure
22349,Heart Failure
38144,Heart Failure
32525,Heart Failure
7188,Diseases of the Heart (Heart Disease)
1705,Major Cardiovascular Disease
38299,Heart Failure
10067,Diseases of the Heart (Heart Disease)
36716,Heart Failure
9192,Acute Myocardial Infarction (Heart Attack)
37140,Stroke
15295,Acute Myocardial Infarction (Heart Attack)
28954,Heart Failure
37316,Heart Failure
14167,Acute Myocardial Infarction (Heart Attack)
13444,Acute Myocardial Infarction (Heart Attack)
1578,Major Cardiovascular Disease
18963,Heart Failure
16911,Coronary Heart Disease
36827,Stroke
36222,Heart Failure
37497,Heart Failure
6690,Diseases of the Heart (Heart Disease)
17266,Coronary Heart Disease
19270,Coronary Heart Disease
1132,Major Cardiovascular Disease
34217,Heart Failure
23232,Heart Failure
37761,Heart Failure
27863,Heart Failure
10878,Diseases of the Heart (Heart Disease)
32959,Heart Failure
29766,Heart Failure
8765,Acute Myocardial Infarction (Heart Attack)
26727,Heart Failure
10826,Acute Myocardial Infarction (Heart Attack)
26434,Heart Failure
16593,Coronary Heart Disease
28959,Heart Failure
34651,Heart Failure
32777,Heart Failure
24549,Heart Failure
34009,Heart Failure
33218,Heart Failure
20418,Heart Failure
5333,Diseases of the Heart (Heart Disease)
34352,Heart Failure
36234,Heart Failure
24420,Heart Failure
17991,Heart Failure
23576,Heart Failure
29503,Heart Failure
22568,Heart Failure
5540,Major Cardiovascular Disease
33082,Heart Failure
27456,Heart Failure
3617,Major Cardiovascular Disease
2626,Major Cardiovascular Disease
4255,Major Cardiovascular Disease
38192,Stroke
22612,Heart Failure
6022,Diseases of the Heart (Heart Disease)
39422,Stroke
27242,Heart Failure
15783,Coronary Heart Disease
4200,Major Cardiovascular Disease
304,Major Cardiovascular Disease
11529,Acute Myocardial Infarction (Heart Attack)
40493,Stroke
14258,Coronary Heart Disease
38333,Heart Failure
27105,Heart Failure
2631,Major Cardiovascular Disease
13854,Coronary Heart Disease
15698,Coronary Heart Disease
22844,Heart Failure
2393,Major Cardiovascular Disease
33568,Heart Failure
19155,Coronary Heart Disease
1566,Major Cardiovascular Disease
19486,Coronary Heart Disease
7132,Diseases of the Heart (Heart Disease)
11815,Acute Myocardial Infarction (Heart Attack)
31487,Heart Failure
15292,Coronary Heart Disease
33911,Heart Failure
33793,Heart Failure
36314,Heart Failure
37567,Heart Failure
24601,Heart Failure
34239,Heart Failure
2483,Major Cardiovascular Disease
1072,Major Cardiovascular Disease
522,Major Cardiovascular Disease
4277,Major Cardiovascular Disease
42181,Stroke
21329,Heart Failure
41399,Stroke
22382,Heart Failure
19516,Heart Failure
2880,Major Cardiovascular Disease
5616,Diseases of the Heart (Heart Disease)
9765,Acute Myocardial Infarction (Heart Attack)
5204,Diseases of the Heart (Heart Disease)
35740,Heart Failure
41148,Stroke
1358,Major Cardiovascular Disease
20374,Heart Failure
10335,Acute Myocardial Infarction (Heart Attack)
11761,Acute Myocardial Infarction (Heart Attack)
38723,Stroke
3197,Major Cardiovascular Disease
31201,Heart Failure
18171,Heart Failure
50,Major Cardiovascular Disease
35024,Heart Failure
26120,Heart Failure
34732,Heart Failure
3060,Major Cardiovascular Disease
39098,Stroke
39035,Stroke
17941,Heart Failure
11220,Acute Myocardial Infarction (Heart Attack)
8054,Diseases of the Heart (Heart Disease)
25031,Heart Failure
23096,Heart Failure
36823,Heart Failure
33317,Heart Failure
23803,Heart Failure
24731,Heart Failure
571,Major Cardiovascular Disease
4573,Diseases of the Heart (Heart Disease)
16297,Coronary Heart Disease
24272,Heart Failure
22927,Heart Failure
2374,Major Cardiovascular Disease
1763,Major Cardiovascular Disease
1656,Major Cardiovascular Disease
35245,Heart Failure
32902,Heart Failure
24547,Heart Failure
5532,Major Cardiovascular Disease
5663,Major Cardiovascular Disease
37163,Heart Failure
25194,Heart Failure
27872,Heart Failure
13698,Coronary Heart Disease
23052,Heart Failure
21563,Heart Failure
35929,Heart Failure
19941,Coronary Heart Disease
38176,Heart Failure
14014,Coronary Heart Disease
34729,Heart Failure
16427,Coronary Heart Disease
11792,Acute Myocardial Infarction (Heart Attack)
12516,Acute Myocardial Infarction (Heart Attack)
24835,Heart Failure
15957,Coronary Heart Disease
24554,Heart Failure
1554,Major Cardiovascular Disease
41369,Stroke
39467,Stroke
15738,Coronary Heart Disease
815,Major Cardiovascular Disease
39784,Stroke
40813,Stroke
33549,Heart Failure
18617,Heart Failure
34846,Heart Failure
24820,Heart Failure
19760,Heart Failure
32140,Heart Failure
963,Major Cardiovascular Disease
16585,Coronary Heart Disease
16635,Coronary Heart Disease
17427,Coronary Heart Disease
29835,Heart Failure
23065,Heart Failure
33186,Heart Failure
38651,Stroke
4346,Major Cardiovascular Disease
37799,Heart Failure
9320,Acute Myocardial Infarction (Heart Attack)
7154,Diseases of the Heart (Heart Disease)
777,Major Cardiovascular Disease
1823,Major Cardiovascular Disease
3293,Major Cardiovascular Disease
41520,Stroke
17832,Heart Failure
18152,Heart Failure
40512,Stroke
